Produkt;Kurzbeschreibung;Beispiel
;;
;;
Brief;Neuanlage eines Einlieferungsauftrags für AFM freigemachte Briefe in  verschiedenen Formaten;AM-XML-Beispiele\029
Brief;Neuanlage eines Einlieferungsauftrags für AFM freigemachte Briefe in  allen Formaten mit Anmeldung Infrastrukturrabatt. In diesem Beispiel wird zunächst ein rudimentärer Auftrag angelegt. Nach der Frankierung erfolgt dann die Aktualisierung mit den korrekten Mengen mittels der Service Operation changeOrder.;AM-XML-Beispiele\030
Dialogpost;Neuanlage eines Einlieferungsauftrags für AFM freigemachte Dialogpost mit Angabe von Paletteninformationen;AM-XML-Beispiele\043
Dialogpost;Neuanlage eines Dialogpost Einlieferungsauftrags mit Angabe von Paletteninformationen. Es wird der Zuschlag für nichtautomationsfähige Sendungen berechnet;AM-XML-Beispiele\139
Dialogpost;"Neuanlage eines Dialogpost Einlieferungsauftrags mit Angabe von Paletteninformationen. Die Sendungen werden vom Absender freigestempelt (AFM).
Die Sendungen beinhalten eine Warenprobe. Somit wird der Variant SACHETS verwendet. Sendungen mit Warenproben sind nicht automationsfähig. 
Der Auftrag muss daher den Zuschlag ""nicht automationsfähig"" mit einer entsprechenden Produktnummer beinhalten.
Der Zuschlag soll über die Einlieferungsliste ebenfalls freigestempelt werden.";AM-XML-Beispiele\141
Brief;"Neuanlage eines Einlieferungsauftrags für AFM freigemachte Briefe in  allen Formaten mit Anmeldung Infrastrukturrabatt. Zusätzlich ist für den Auftrag Premiumadress relevant. Für die korrekte Handhabung der Sendungen ist die Angabe der Kundennummer des Vertragspartners
zu Premiumadress erforderlich.";AM-XML-Beispiele\145
;;
Dialogpost;Neuanlage eines Einlieferungsauftrags für durch Absenderstempelung freigemachte Dialogpost ins Inland mit Paletten und Rabatten;AM-XML-Beispiele\023
Dialogpost;Neuanlage eines Einlieferungsauftrags für durch Absenderstempelung freigemachte Dialogpost mit Aufzahlung. Zahlweise durch Angabe der Kontoverbindung.;AM-XML-Beispiele\031
;;
Brief;Neuanlage eines Einlieferungsauftrags für DV freigemachte Briefe ins Inland für verschiedene Formate;AM-XML-Beispiele\001
Brief;Neuanlage eines Einlieferungsauftrags für DV freigemachte Briefe ins Inland für verschiedene Formate mit Anmeldung Infrastrukturrabatt.;AM-XML-Beispiele\004
Brief Einzeltarif International;Neuanlage eines Einlieferungsauftrags für DV freigemachte Briefe verschiedener Formate ins Ausland.;AM-XML-Beispiele\002
Brief Einzeltarif International mit BZL;Neuanlage eines Einlieferungsauftrags für internationale Briefe zum Einzeltarif mit unterschiedlichen BZL in verschiedene Zonen.;AM-XML-Beispiele/122
Brief;"Neuanlage eines Einlieferungsauftrags, bei dem das Feld ""Order Label"" mit einem Freitext belegt wird";AM-XML-Beispiele\054
Brief;Neuanlage eines Einlieferungsauftrags für DV freigemachte Maxibriefe ins Inland mit Zuzahlung für das Sonderformat Maxibrief Plus;AM-XML-Beispiele\060
Brief Kilotarif;Neuanlage eines Einlieferungsauftrags für DV freigemachte Briefe ins Ausland zum Kilotarif;AM-XML-Beispiele\003
